 start_time :2020-01-19 13:47:59 
 batch_size :5 
  start from66600, l_rate =3e-05 
freeze=True, batch_size=5, min_num_class=0 
 rate     iter   epoch  | valid   top@1    top@5    map@5  | train    top@1    top@5    map@5 | batch    top@1    top@5    map@5 |  time          
0.00003 89.60 k 72.79  | 1.473    64.555    74.124    0.6891    0.3000 | 1.474    25.000    0.483 | 1.496     25.000    0.433 |  6 hr 52 min 
0.00003 89.80 k 72.95  | 1.537    59.030    70.081    0.6389    0.3000 | 1.469    25.000    0.528 | 1.446     25.000    0.517 |  6 hr 56 min 
0.00003 90.00 k 73.11  | 1.508    63.881    74.259    0.6848    0.3000 | 1.472    25.000    0.525 | 1.435     25.000    0.517 |  6 hr 59 min 
0.00003 90.20 k 73.28  | 1.493    62.399    72.776    0.6710    0.3000 | 1.469    25.000    0.506 | 1.457     25.000    0.550 |  7 hr 03 min 
0.00003 90.40 k 73.44  | 1.470    61.321    72.237    0.6613    0.3000 | 1.480    25.000    0.491 | 1.467     25.000    0.617 |  7 hr 06 min 
0.00003 90.60 k 73.60  | 1.489    64.420    73.046    0.6828    0.3000 | 1.488    25.000    0.474 | 1.509     25.000    0.450 |  7 hr 10 min 
0.00003 90.80 k 73.76  | 1.480    63.073    72.776    0.6746    0.3000 | 1.480    25.000    0.531 | 1.553     25.000    0.537 |  7 hr 14 min 
0.00003 91.00 k 73.93  | 1.485    62.264    71.968    0.6664    0.3000 | 1.459    25.000    0.530 | 1.447     25.000    0.575 |  7 hr 17 min 
0.00003 91.20 k 74.09  | 1.505    60.377    70.216    0.6447    0.3000 | 1.460    25.000    0.503 | 1.413     25.000    0.517 |  7 hr 21 min 
0.00003 91.40 k 74.25  | 1.465    63.073    71.294    0.6681    0.3000 | 1.459    25.200    0.498 | 1.378     25.000    0.517 |  7 hr 25 min 
0.00003 91.60 k 74.41  | 1.468    64.151    73.046    0.6811    0.3000 | 1.501    25.000    0.474 | 1.407     25.000    0.550 |  7 hr 28 min 
