 start_time :2020-01-19 23:29:27 
 batch_size :5 
 rate     iter   epoch  | valid   top@1    top@5    map@5  | train    top@1    top@5    map@5 | batch    top@1    top@5    map@5 |  time          
0.00030 14.20 k 10.76  | 2.340    37.466    37.601    0.3753    0.7000 | 0.323    97.200    0.982 | 0.401     90.000    0.942 |  5 hr 36 min 
0.00030 14.40 k 10.91  | 2.352    37.466    37.601    0.3753    0.8000 | 0.324    97.400    0.984 | 0.455     90.000    0.950 |  5 hr 41 min 
0.00030 14.60 k 11.06  | 2.355    37.466    37.601    0.3753    0.6000 | 0.303    96.700    0.981 | 0.232     100.000    1.000 |  5 hr 45 min 
0.00030 14.80 k 11.22  | 2.374    37.466    37.601    0.3753    0.6000 | 0.345    97.900    0.985 | 0.245     100.000    1.000 |  5 hr 50 min 
0.00030 15.00 k 11.37  | 2.366    37.466    37.736    0.3758    0.6000 | 0.327    96.900    0.979 | 0.364     90.000    0.925 |  5 hr 55 min 
0.00030 15.20 k 11.52  | 2.376    37.466    37.736    0.3756    0.6000 | 0.323    97.500    0.985 | 0.240     90.000    0.942 |  5 hr 59 min 
0.00030 15.40 k 11.67  | 2.363    37.466    37.736    0.3756    0.7000 | 0.328    97.800    0.986 | 0.371     100.000    1.000 |  6 hr 04 min 
0.00030 15.60 k 11.82  | 2.378    37.466    37.601    0.3753    0.6000 | 0.292    97.200    0.982 | 0.332     95.000    0.975 |  6 hr 09 min 
0.00030 15.80 k 11.97  | 2.381    37.601    37.601    0.3760    0.7000 | 0.318    97.100    0.980 | 0.262     100.000    1.000 |  6 hr 13 min 
0.00030 16.00 k 12.12  | 2.386    37.466    37.601    0.3753    0.7000 | 0.322    96.800    0.978 | 0.314     100.000    1.000 |  6 hr 18 min 
0.00030 16.20 k 12.28  | 2.381    37.466    37.601    0.3753    0.7000 | 0.312    97.800    0.986 | 0.252     100.000    1.000 |  6 hr 23 min 
0.00030 16.40 k 12.43  | 2.373    37.466    37.736    0.3756    0.5000 | 0.353    97.000    0.979 | 0.299     100.000    1.000 |  6 hr 28 min 
0.00030 16.60 k 12.58  | 2.369    37.466    37.601    0.3753    0.6000 | 0.288    97.900    0.984 | 0.434     95.000    0.950 |  6 hr 32 min 
0.00030 16.80 k 12.73  | 2.366    37.466    37.601    0.3753    0.6000 | 0.341    96.700    0.978 | 0.396     95.000    0.967 |  6 hr 37 min 
0.00030 17.00 k 12.88  | 2.377    37.466    37.601    0.3753    0.7000 | 0.294    97.400    0.983 | 0.238     100.000    1.000 |  6 hr 42 min 
0.00030 17.20 k 13.03  | 2.375    37.332    37.601    0.3747    0.6000 | 0.314    97.000    0.980 | 0.295     100.000    1.000 |  6 hr 47 min 
