 start_time :2020-01-05 19:03:49 
 batch_size :5 
 rate     iter   epoch  | valid   top@1    top@5    map@5  | train    top@1    top@5    map@5 | batch    top@1    top@5    map@5 |  time          
0.00030 16.60 k 13.49  | 2.569    34.636    34.906    0.3477    0.5000 | 0.249    98.300    0.991 | 0.228     100.000    1.000 |  6 hr 59 min 
0.00030 16.80 k 13.65  | 2.584    34.636    34.906    0.3477    0.7000 | 0.248    98.700    0.992 | 0.183     100.000    1.000 |  7 hr 04 min 
0.00030 17.00 k 13.81  | 2.586    34.501    34.906    0.3470    0.6000 | 0.256    98.300    0.990 | 0.199     100.000    1.000 |  7 hr 09 min 
0.00030 17.20 k 13.97  | 2.591    34.636    34.906    0.3473    0.6000 | 0.238    98.000    0.988 | 0.185     100.000    1.000 |  7 hr 14 min 
0.00030 17.40 k 14.14  | 2.586    34.636    35.040    0.3480    0.6000 | 0.235    98.700    0.992 | 0.184     100.000    1.000 |  7 hr 19 min 
0.00030 17.60 k 14.30  | 2.607    34.636    34.771    0.3470    0.7000 | 0.265    97.200    0.983 | 0.346     100.000    1.000 |  7 hr 24 min 
0.00030 17.80 k 14.46  | 2.601    34.636    34.906    0.3477    0.6000 | 0.253    98.000    0.987 | 0.194     100.000    1.000 |  7 hr 29 min 
0.00030 18.00 k 14.62  | 2.628    34.636    34.906    0.3477    0.5000 | 0.231    98.800    0.992 | 0.155     100.000    1.000 |  7 hr 34 min 
0.00030 18.20 k 14.79  | 2.633    34.636    34.906    0.3477    0.7000 | 0.249    97.700    0.986 | 0.288     100.000    1.000 |  7 hr 39 min 
0.00030 18.40 k 14.95  | 2.651    34.636    34.906    0.3477    0.7000 | 0.249    97.800    0.987 | 0.149     100.000    1.000 |  7 hr 44 min 
0.00030 18.60 k 15.11  | 2.641    34.636    34.771    0.3470    0.5000 | 0.213    98.900    0.994 | 0.177     100.000    1.000 |  7 hr 49 min 
0.00030 18.80 k 15.27  | 2.664    34.636    34.906    0.3477    0.7000 | 0.215    98.700    0.992 | 0.179     100.000    1.000 |  7 hr 54 min 
0.00030 19.00 k 15.44  | 2.644    34.636    34.771    0.3470    0.7000 | 0.257    97.700    0.984 | 0.314     100.000    1.000 |  7 hr 59 min 
0.00030 19.20 k 15.60  | 2.661    34.636    34.771    0.3470    0.6000 | 0.239    97.900    0.987 | 0.183     100.000    1.000 |  8 hr 04 min 
0.00030 19.40 k 15.76  | 2.660    34.636    34.906    0.3477    0.6000 | 0.225    98.200    0.990 | 0.175     100.000    1.000 |  8 hr 09 min 
0.00030 19.60 k 15.92  | 2.672    34.501    34.906    0.3466    0.6000 | 0.237    98.800    0.993 | 0.198     100.000    1.000 |  8 hr 14 min 
0.00030 19.80 k 16.09  | 2.670    34.636    34.906    0.3474    0.7000 | 0.227    98.300    0.990 | 0.166     100.000    1.000 |  8 hr 19 min 
0.00030 20.00 k 16.25  | 2.686    34.501    34.906    0.3470    0.6000 | 0.246    97.500    0.984 | 0.151     100.000    1.000 |  8 hr 24 min 
0.00030 20.20 k 16.41  | 2.685    34.636    34.771    0.3470    0.7000 | 0.256    97.800    0.985 | 0.183     100.000    1.000 |  8 hr 29 min 
0.00030 20.40 k 16.57  | 2.688    34.636    34.906    0.3477    0.8000 | 0.224    98.200    0.989 | 0.239     100.000    1.000 |  8 hr 34 min 
0.00030 20.60 k 16.74  | 2.689    34.636    34.906    0.3477    0.6000 | 0.229    98.200    0.989 | 0.303     100.000    1.000 |  8 hr 39 min 
0.00030 20.80 k 16.90  | 2.687    34.636    34.906    0.3477    0.5000 | 0.224    97.600    0.987 | 0.132     100.000    1.000 |  8 hr 45 min 
0.00030 21.00 k 17.06  | 2.720    34.636    34.906    0.3477    0.7000 | 0.218    98.200    0.989 | 0.173     100.000    1.000 |  8 hr 50 min 
0.00030 21.20 k 17.22  | 2.723    34.501    34.771    0.3464    0.7000 | 0.193    98.200    0.990 | 0.197     95.000    0.975 |  8 hr 55 min 
