 start_time :2020-01-17 13:23:38 
 batch_size :5 
  start from22600, l_rate =0.0003 
freeze=True, batch_size=5, min_num_class=0 
 rate     iter   epoch  | valid   top@1    top@5    map@5  | train    top@1    top@5    map@5 | batch    top@1    top@5    map@5 |  time          
0.00030 39.80 k 31.39  | 1.549    56.604    77.089    0.6493    0.3000 | 1.504    30.500    0.487 | 1.330     40.000    0.571 |  5 hr 15 min 
0.00030 40.00 k 31.55  | 1.525    55.391    71.833    0.6181    0.3000 | 1.559    28.500    0.446 | 1.658     25.000    0.367 |  5 hr 19 min 
0.00030 40.20 k 31.70  | 1.555    58.356    73.989    0.6450    0.3000 | 1.600    28.900    0.421 | 1.587     30.000    0.467 |  5 hr 22 min 
0.00030 40.40 k 31.85  | 1.506    62.399    81.267    0.7001    0.3000 | 1.610    28.800    0.416 | 1.642     30.000    0.388 |  5 hr 26 min 
0.00030 40.60 k 32.00  | 1.523    61.725    79.245    0.6862    0.3000 | 1.640    28.100    0.412 | 1.681     30.000    0.417 |  5 hr 30 min 
0.00030 40.80 k 32.15  | 1.485    53.639    72.776    0.6102    0.3000 | 1.495    30.500    0.486 | 1.461     25.000    0.479 |  5 hr 33 min 
0.00030 41.00 k 32.30  | 1.499    58.895    71.968    0.6419    0.3000 | 1.568    28.900    0.446 | 1.711     25.000    0.300 |  5 hr 37 min 
0.00030 41.20 k 32.45  | 1.488    64.690    80.189    0.7119    0.3000 | 1.575    29.200    0.431 | 1.614     25.000    0.377 |  5 hr 41 min 
0.00030 41.40 k 32.61  | 1.492    63.342    80.593    0.7010    0.3000 | 1.613    27.700    0.411 | 1.792     30.000    0.385 |  5 hr 44 min 
0.00030 41.60 k 32.76  | 1.488    64.286    81.671    0.7093    0.3000 | 1.621    28.000    0.408 | 1.464     25.000    0.517 |  5 hr 48 min 
0.00030 41.80 k 32.91  | 1.488    57.951    74.124    0.6461    0.3000 | 1.503    29.900    0.475 | 1.569     30.000    0.425 |  5 hr 52 min 
0.00030 42.00 k 33.06  | 1.491    59.569    75.202    0.6580    0.3000 | 1.547    29.700    0.452 | 1.479     30.000    0.527 |  5 hr 55 min 
0.00030 42.20 k 33.21  | 1.475    61.456    77.089    0.6732    0.3000 | 1.568    30.100    0.439 | 1.657     25.000    0.350 |  5 hr 59 min 
