 start_time :2020-01-22 00:24:19 
 batch_size :5 
  start from70000, l_rate =3e-05 
freeze=True, batch_size=5, min_num_class=0 
 rate     iter   epoch  | valid   top@1    top@5    map@5  | train    top@1    top@5    map@5 | batch    top@1    top@5    map@5 |  time          
0.00003 92.20 k 69.87  | 1.441    66.712    74.528    0.7023    0.3000 | 1.469    25.000    0.535 | 1.393     25.000    0.517 |  6 hr 39 min 
0.00003 92.40 k 70.02  | 1.442    66.038    73.046    0.6903    0.3000 | 1.476    25.000    0.523 | 1.576     25.000    0.500 |  6 hr 43 min 
0.00003 92.60 k 70.17  | 1.451    66.846    73.720    0.6976    0.3000 | 1.474    25.000    0.508 | 1.553     25.000    0.442 |  6 hr 46 min 
0.00003 92.80 k 70.32  | 1.443    65.364    73.450    0.6896    0.3000 | 1.474    25.000    0.506 | 1.446     25.000    0.500 |  6 hr 50 min 
0.00003 93.00 k 70.47  | 1.445    66.173    72.642    0.6913    0.3000 | 1.494    25.000    0.478 | 1.470     25.000    0.467 |  6 hr 53 min 
0.00003 93.20 k 70.62  | 1.463    65.633    73.720    0.6922    0.3000 | 1.475    25.000    0.534 | 1.522     25.000    0.552 |  6 hr 57 min 
0.00003 93.40 k 70.78  | 1.437    64.960    70.889    0.6768    0.3000 | 1.474    25.000    0.521 | 1.423     25.000    0.514 |  7 hr 01 min 
0.00003 93.60 k 70.93  | 1.452    66.173    73.181    0.6928    0.3000 | 1.480    25.000    0.519 | 1.479     25.000    0.512 |  7 hr 04 min 
0.00003 93.80 k 71.08  | 1.465    66.981    73.854    0.7022    0.3000 | 1.483    25.000    0.502 | 1.479     25.000    0.542 |  7 hr 08 min 
0.00003 94.00 k 71.23  | 1.466    66.173    75.067    0.7022    0.3000 | 1.476    25.000    0.484 | 1.554     25.000    0.383 |  7 hr 12 min 
0.00003 94.20 k 71.38  | 1.478    65.768    74.663    0.6982    0.3000 | 1.482    25.000    0.530 | 1.461     25.000    0.525 |  7 hr 15 min 
0.00003 94.40 k 71.53  | 1.450    67.790    73.854    0.7039    0.3000 | 1.463    25.200    0.539 | 1.454     25.000    0.558 |  7 hr 19 min 
0.00003 94.60 k 71.69  | 1.462    65.499    73.585    0.6919    0.3000 | 1.476    25.000    0.527 | 1.459     25.000    0.529 |  7 hr 22 min 
0.00003 94.80 k 71.84  | 1.448    66.712    73.585    0.6991    0.3000 | 1.493    25.000    0.510 | 1.455     25.000    0.447 |  7 hr 26 min 
0.00003 95.00 k 71.99  | 1.453    66.442    75.741    0.7060    0.3000 | 1.489    25.000    0.479 | 1.431     25.000    0.510 |  7 hr 30 min 
0.00003 95.20 k 72.14  | 1.451    67.655    74.663    0.7070    0.3000 | 1.464    25.000    0.539 | 1.501     25.000    0.567 |  7 hr 33 min 
0.00003 95.40 k 72.29  | 1.449    65.903    74.259    0.6948    0.3000 | 1.466    25.000    0.512 | 1.442     25.000    0.454 |  7 hr 37 min 
0.00003 95.60 k 72.44  | 1.458    66.846    74.259    0.6989    0.3000 | 1.484    25.000    0.516 | 1.411     25.000    0.463 |  7 hr 40 min 
0.00003 95.80 k 72.60  | 1.464    64.420    71.833    0.6781    0.3000 | 1.482    25.000    0.512 | 1.771     25.000    0.525 |  7 hr 44 min 
0.00003 96.00 k 72.75  | 1.449    67.251    74.259    0.7036    0.3000 | 1.488    25.000    0.487 | 1.514     25.000    0.500 |  7 hr 47 min 
0.00003 96.20 k 72.90  | 1.445    66.442    74.394    0.7001    0.3000 | 1.488    25.000    0.529 | 1.410     25.000    0.517 |  7 hr 51 min 
0.00003 96.40 k 73.05  | 1.453    65.499    73.450    0.6898    0.3000 | 1.464    25.000    0.532 | 1.475     25.000    0.542 |  7 hr 55 min 
0.00003 96.60 k 73.20  | 1.445    66.173    73.181    0.6903    0.3000 | 1.477    25.000    0.512 | 1.470     25.000    0.585 |  7 hr 58 min 
0.00003 96.80 k 73.35  | 1.445    66.577    73.720    0.6964    0.3000 | 1.482    25.000    0.486 | 1.451     25.000    0.475 |  8 hr 02 min 
0.00003 97.00 k 73.50  | 1.443    69.137    74.259    0.7131    0.3000 | 1.486    25.000    0.481 | 1.452     25.000    0.467 |  8 hr 05 min 
0.00003 97.20 k 73.66  | 1.453    65.903    74.124    0.6954    0.3000 | 1.463    25.000    0.532 | 1.448     25.000    0.522 |  8 hr 09 min 
0.00003 97.40 k 73.81  | 1.465    63.881    72.237    0.6752    0.3000 | 1.463    25.000    0.523 | 1.429     25.000    0.613 |  8 hr 13 min 
0.00003 97.60 k 73.96  | 1.450    63.477    71.563    0.6686    0.3000 | 1.480    25.000    0.518 | 1.463     25.000    0.492 |  8 hr 16 min 
0.00003 97.80 k 74.11  | 1.455    65.364    71.833    0.6814    0.3000 | 1.479    25.200    0.499 | 1.564     25.000    0.510 |  8 hr 20 min 
0.00003 98.00 k 74.26  | 1.447    66.846    73.046    0.6980    0.3000 | 1.478    25.000    0.493 | 1.508     25.000    0.487 |  8 hr 23 min 
